No,Name_of_Company,Address,Phone,Industry
7146.,H KHORDI,"Dsn Sawahan Ds.penungggul, Pasuruan, Jawa Timur",482296,Daging Rajungan
7147.,"H KOSIN, PENGERINGAN IKAN","Pabeyan, Ds, Tuban, Jawa Timur",411168,Ikan Kering
7148.,H MACHFUD/ALAWI,"Pana'an, Ds Dusun Tengah, Pamekasan, Jawa Timur",,Rokok Kretek
7149.,H MAHRUP,"Dusun Gelogor Timur Ds Gelogor, Lombok Barat, Nusa Tenggara Barat",,Kerupuk Tempe
7150.,"H MASDUKI, KAPUK","Pucangan Rt03/rw05, Pasuruan, Jawa Timur",,Kapuk Odolan
7151.,H MAULAN ANWAR,"Dsn.sumberjo Rt 03 Rw 8, Blitar, Jawa Timur",,Perajangan Cengkeh
7152.,H MINHA,"Selopuro Rt.2 Rw03, Blitar, Jawa Timur",081556553105,Tembakau Rajangan Kering
7153.,H MUSLIM,"Kp Sindangreret Rt1/1 Desa, Karawang, Jawa Barat",,Beras
7154.,H MUZAQI/ MANDIRI PUTRA,"Puger Wetan Rt 01 Rw 05, Jember, Jawa Timur",721202,Ikan Pindang
7155.,H NASONG,"Saleko, , Sulawesi Selatan",,Tali Tambang
7156.,H NAYO,"Ds Gombang Blok Selatan Desa Plumbon Cirebon, Cirebon, Jawa Barat",,Laci Rotan
7157.,H NAZONG,"Lambe Desa Karama, Polewali Mandar, Sulawesi Barat",,Tali Tambang
7158.,H NURCHOLIS,"Jatikalang Rt 1 Rw 2 Ds, Sidoarjo, Jawa Timur",,Krupuk
7159.,H RAMLI,"Kilensari, Ds Jl Pelabuhanno.1.rt.17/14, Situbondo, Jawa Timur",674078,Tripang
7160.,H SAFIUDIN MEBEL,"Ketegan, Ds, Pasuruan, Jawa Timur",442175,Meja Kursi
7161.,H SAIFUL M,"Blok Grewal, Cirebon, Jawa Barat",,Kue Keju
7162.,H SELALUDIN,"Dusun Lendang Ara I, Lombok Tengah, Nusa Tenggara Barat",081933168872,Tembakau Kering
7163.,H SLAMET,"Merpati 28, Gang, Sidoarjo, Jawa Timur",8533242,Krupuk Plembang
7164.,H SUBALI,"Blok Silayar Ds Bode, Cirebon, Jawa Barat",,Kursi Rotan
7165.,H SUHANA,"Desa Ciaruten Udik, Bogor, Jawa Barat",,Jaket
7166.,H SUPARMAN,"Kali Anyar Ds Gombang, Cirebon, Jawa Barat",0231321576,Kue / Roti
7167.,H SYAMSURI FATHOLLA,"Daja Lorong, Sumenep, Jawa Timur",,Kripik Singkong
7168.,H TOTOK/ H KAMAL BISRI,"Sekarputih Trebungan, Situbondo, Jawa Timur",0338-674670,Ikan Pindang
7169.,H UMAR,"Kemasan, Ds, Sidoarjo, Jawa Timur",,Sepatu
7170.,H ZEN KASROWI,"Bulujowo, Ds, Tuban, Jawa Timur",0356 411044,Ikan Kering
7171.,"H, JONO KAPUK","Rt.05 Rw.04 Dsn Tanjungsari, Pasuruan, Jawa Timur",0343-777811,Kapuk Halus
7172.,H. ABD MUNIR,"Timampu Kec. Towuti, Luwu Timur, Sulawesi Selatan",,Papan
7173.,H. ABDUL AZIZ KONVEKSI,"Menteng Rt 001/45, Jakarta Utara, DKI Jakarta",021-4351855,Kemeja
7174.,H. ABDUL HAMID,"Kecegem Bagik Payung Selatan, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajang
7175.,H. ABDUL KARIM,"Dusun Tokan, Lombok Tengah, Nusa Tenggara Barat",08175746940,Tembakau Kering
7176.,H. ABDULLAH A,"Dusun Bagiq Gaet, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7177.,H. ABDULLAH B,"Dusun Gubuk Lauq, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7178.,H. AINUDIN AKBAR,"Dusun Denggen Daya, Lombok Timur, Nusa Tenggara Barat",,Tembakau Omprongan
7179.,"H. ALI SEJAHTERA, PT","Karah Agung 45, Surabaya, Jawa Timur",8276073,Surat Kabar Memorandum
7180.,H. ARBANGI,"Ds. Karangsono, Tulungagung, Jawa Timur",0355 396310,Gula Merah
7181.,H. ARIFIN,"Dusun Songak, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering/oven
7182.,H. ARIFIN,"Dusun Penyangkar, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7183.,H. ASHARUDIN,"Dusun Bantek Desa Bagik Payung, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7184.,H. BAHRI,"Jl A Malingkaan Impa-impa, Wajo, Sulawesi Selatan",,Kain Sutera
7185.,H. BASRI,"Ds. Jogodalu, Gresik, Jawa Timur",70952196,Sarung Tenun
7186.,H. BURHANUDIN,"Mojosantren, Sidoarjo, Jawa Timur",031 8975236,Sepatu
7187.,H. CEK IPAH. HS,"Jl. Ki Gede Ing Suro No.141 Rt.10, 32 Ilir, Palembang, Sumatera Selatan",(0711) 355212,Kain Songket
7188.,H. D N PABRIK KERUPUK,"Jl Batan Raya Rt 008/02, Jakarta Selatan, DKI Jakarta",021 7504360,Kerupuk
7189.,H. DAHLAN,"Dusun Dalem Desa Utara, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7190.,"H. DIDI MAEDI ""INDUSTRI BUNGKIL""","Blok Kali Gandu Rt 03/03, Cirebon, Jawa Barat",08121402742,Bungkil Kacang
7191.,"H. FUAD ""INDUSTRI BUNGKIL""","Blok Kaligandu Rt 03/03, Cirebon, Jawa Barat",081320231016,Bungkil Kacang
7192.,H. HALIL ZAM ZAM,"Montong Baik Dsn Temubireng, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7193.,H. HILMI,"Dusun Benjor Desa Teratak, Lombok Tengah, Nusa Tenggara Barat",081805707336,Tembakau Kering
7194.,H. HURMANSYAH,"Dusun Gubuk Tengak, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7195.,H. IHSAN RASIDIN,"Dusun Serumbung Lendang Are, Lombok Tengah, Nusa Tenggara Barat",081916397135,Tembakau Kering
7196.,H. IRSYAD KONFEKSI BUSANA MUSLIM,"Komplek Pik Blok E No 149, Jakarta Timur, DKI Jakarta",,Baju
7197.,H. ISHAK ISKANDAR,"Kp Pasanggrahan Tonggoh Rt. 04/03, Garut, Jawa Barat",0262-545377,Teh Hijau
7198.,H. KAMARUDIN,"Dusun Kertasari Ds Kalijaga Selatan, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7199.,H. KHAIRUL WARISIN,"Jl. Raya Sikur Sakra, Lombok Timur, Nusa Tenggara Barat",0376 631008,Daun Tembakau
7200.,H. KURDI,"Dusun Bagek Gaet, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7201.,H. L. ALMAIDI,"Dusun Odang Dalem Lauq, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7202.,H. L. M. ISTAR RIADI,"Dusun Pungkang Selatan, Lombok Timur, Nusa Tenggara Barat",,Penggilingan Padi
7203.,H. L. UMAR,"Sue Desa Sakra, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering Oven
7204.,H. M. ZAINUL HAFIZ,"Denggen Daya, Lombok Timur, Nusa Tenggara Barat",,Tembakau Omprongan
7205.,"H. MAGGA, IND TEMBAKAU","Jl A Panne, Soppeng, Sulawesi Selatan",,Tembakau Tabung
7206.,H. MAHSUN,"Dusun Montong Berore, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7207.,H. MAKRIP,"Dusun Renco Kel Kelayu Jorong, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7208.,H. MASRIN HASAN BASRI,"Dusun Lemerek, Lombok Tengah, Nusa Tenggara Barat",0817367051,Penggilingan Beras
7209.,H. MUHLIS,"Dusun Bagiq Gaet, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7210.,H. MUHTAR,"Dusun Sinar Rinjani, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7211.,H. MUKRI PABRIK TAHU,"Bekasi Timur Rt 018/08, Jakarta Timur, DKI Jakarta",021-8193126,Tahu
7212.,H. MUNA'I,"Jati Tengah Kidul, Jl. Tegal Jaten, Pasuruan, Jawa Timur",0343632979,Kapik Halus
7213.,H. MUNARI,"Dsn Curahwuluh-mojotengah, Pasuruan, Jawa Timur",0343 8477358,Kapuk
7214.,H. MUNAWAR KONFEKSI,"Warung Jati Barat Ii No. 27, Jakarta Selatan, DKI Jakarta",021-7948784,Pakaian Anak
7215.,"H. NERA ""INDUSTRI BUNGKIL""","Blok Kaligandu Rt 02/04, Cirebon, Jawa Barat",,Bungkil Kacang
7216.,H. NUGROHO KASUR,"Ds Sumur Dalam, Probolinggo, Jawa Timur",,Kasur
7217.,H. NURDIN,"Dusun Bagek Gaet, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7218.,H. NURDIN,"Desa Batuyang, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7219.,H. NURDIN,"Jl. Wanamakka, Wajo, Sulawesi Selatan",,Kain Sutera
7220.,H. NURUDIN,"Dusun Montong Berore, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7221.,"H. RIDAD ""INDUSTRI BUNGKIL""","Blok Kaligandu Rt 02/04, Cirebon, Jawa Barat",081324700603,Bungkil Kacang
7222.,H. ROSIDI,"Dusun Bagiq Gaet, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7223.,H. SADRAH,"Dusun Sumpak Muncan, Lombok Tengah, Nusa Tenggara Barat",,Tembakau Kering
7224.,H. SAFI'I,"Montong Baik Dsn Temubireng, Lombok Timur, Nusa Tenggara Barat",0376 632185,Daun Tembakau Kering
7225.,H. SAHABUDIN,"Montong Baik Dsn Temubireng, Lombok Timur, Nusa Tenggara Barat",0376 632154,Tembakau Rajangan
7226.,H. SAHID,"Sekarjalak, Ds, Pasuruan, Jawa Timur",0343 633475,Kapuk Halus
7227.,H. SAHRONI BATIK,"Jl. Pringlangu  Gg 7 No. 108, Pekalongan, Jawa Tengah",0285-432019,Kain Batik
7228.,H. SALIM / AGUS,"Bogak, Batu Bara, Sumatera Utara",,Ikan Asin
7229.,"H. SAMSURI ""INDUSTRI BUNGKIL""","Blok Kaligandu Rt 02/04, Cirebon, Jawa Barat",,Bungkil Kacang
7230.,H. SELIAH,"Dusun Bangle, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7231.,H. SOBANA HELER,"Blok Kendal, Indramayu, Jawa Barat",,Penyosohan Beras
7232.,H. SUDJONO,"Jl. Raya Gunungsari, Bojonegoro, Jawa Timur",0322 452738,Kasur Lantai
7233.,H. SUJIANTO,"Ds. Sumengko, Nganjuk, Jawa Timur",0358 328110,Shutle Cock
7234.,H. SUKADI,"Ds. Sumengko, Nganjuk, Jawa Timur",0358 324101,Shutle Cock
7235.,"H. SUKAMA ""INDUSTRI BUNGKIL""","Blok Kaligandu Rt 02/04, Cirebon, Jawa Barat",081320762970,Bungkil Kacang
7236.,H. SUKARDI,"Lebongge Tancung, Wajo, Sulawesi Selatan",,Kain Sutera
7237.,H. SUKRON HADI,"Dusun Pengenjek Daye, Lombok Tengah, Nusa Tenggara Barat",,Kerupuk Soda
7238.,"H. SUKUR ""INDUSTRI BUNGKIL""","Blok Kaligandu Rt 01/04, Cirebon, Jawa Barat",08122201790,Bungkil Kacang
7239.,H. SUNAIB/NAIB,"Dsn Curah Wuluh, Mojotengah, Pasuruan, Jawa Timur",0343635504,Kapuk Halus
7240.,H. SUPRAPTO,"Kp. Krajan Rt. 2/1ds.agel, Situbondo, Jawa Timur",08123464175,Mebel
7241.,H. SURATMAN,"Rt 10 Rw 2 Ds. Belun, Bojonegoro, Jawa Timur",,Tembakau Rajang
7242.,H. TOHIR,"Dsn Kemlandingan-wedoro, Pasuruan, Jawa Timur",,Kasur Dari Kapuk
7243.,H. TUKI KONFEKSI,"Cikijang V No.6 Rt.007/011, Jakarta Utara, DKI Jakarta",021-43931989,Pakaian Jadi
7244.,H. ULUL AZMI,"Desa Pengenjek Daye, Lombok Tengah, Nusa Tenggara Barat",081917155993,Kerupuk
7245.,H. ZOHDI,"Dusun Paoq Kambut Ds Telagawaru, Lombok Barat, Nusa Tenggara Barat",,Kerupuk Tepung Terigu
7246.,H.A.SALEH /HASIL LAUT PUTRA,"Dsn.paseser Prenduan, Sumenep, Jawa Timur",821662,Ikan Kering
7247.,H.ABD GHOFUR/PROMA PRODUKSI MAJU,"Kemasan, Sidoarjo, Jawa Timur",0318971156,"Sepatu,sandal,selop"
7248.,H.ABDUL MALIK,"Ds.bendilwungu, Tulungagung, Jawa Timur",396941,Kandang Ayam
7249.,H.AHA/H.AWALUDIN,"Jl.soekarno Hatta No.210, Bandung, Jawa Barat",022-6070624,Sepatu Abri
7250.,H.AMA,"Kp.pongporang, Bandung, Jawa Barat",91139835,Kerajinan
7251.,H.E. SUTISNA MEUBEL,"Kp Pareang Rt 02 Rw 03, Cianjur, Jawa Barat",026332980,Rak Kristal Kursi
7252.,H.EFENDY IND SEPATU,"Kedawang, Mojokerto, Jawa Timur",,Sepatu
7253.,H.IMRON MASHURI BATIK,"Pringlangu  Gg8/40, Pekalongan, Jawa Tengah",0285-410445,Batik
7254.,H.KADAM,"Ds.jegulo, Tuban, Jawa Timur",,Tembakau Rajangan
7255.,H.M. ALI,"Kolursari Rt 06/02, Pasuruan, Jawa Timur",0343 745155,Busana Muslim Wanita Bordir
7256.,H.M.FADIL,"Ds.mojosantren Rt.09/03, Sidoarjo, Jawa Timur",031 8974341,Sepatu Imitasi
7257.,H.M.SALEH,"Dusun Sukamulia, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7258.,"H.MAKRUF ROSYIDI, UD (NURAINIYAH)","Sunan Drajat, Jl No.20, Lamongan, Jawa Timur",321076,Tikar Dari Benang
7259.,"H.MAMAN , HULLER","Jl, Raya Cilandak Ds Anjatan Utara, Indramayu, Jawa Barat",-,Beras
7260.,H.MOCH ZAINAL ROSIDY,"Mojosantren Kemasan, Sidoarjo, Jawa Timur",031 8973812,Sepatu Sandal
7261.,H.MUDAHRI,"Dsn.paseser Prenduan, Sumenep, Jawa Timur",,Ikan Kering
7262.,H.MUGHENI,"Jl. Tegal Jaten Dsn Jatitengah Kidul Mj Tengah, Pasuruan, Jawa Timur",0343-632185,Kasur Lantai
7263.,H.NANANG,"Jl.raya Rancaekek, Bandung, Jawa Barat",,Kain Sarung/handuk
7264.,H.ROJAIB,"Dsn.paseser Prenduan, Sumenep, Jawa Timur",,Ikan Kering
7265.,H.S.M /SAUR SITORUS,"Kp Panyindangan Km 1 Desa Padabeunghar, Sukabumi, Jawa Barat",0266-460256,Kapur Sirih
7266.,H.SAYUTI,"Lingk Paok Rebak, Dusun Temiling, Lombok Timur, Nusa Tenggara Barat",,Daun Tembakau Kering
7267.,"H.SUWARDI /JADI JAYA,CV","Pesantren,ds, Sidoarjo, Jawa Timur",031 8968839,Produksi Krupuk
7268.,"H.TAMA/ SW / RZ ,PB","Jl. Raya Pantura Ds Karang Anyar, Indramayu, Jawa Barat",081320642285,Beras
7269.,"H.TECH OILFELD EQUITMENT, PT","Jl Hang Kesturi Km 04 Kawasan Kabil Industri Terpadu Kabil-b, B A T A M, Kepulauan Riau",0778-711166,Pipa Bor
7270.,H.TOTONG ABDULLAH/KARET KOMPON,"Jl Bintang Mas Desa Nanggewer, Bogor, Jawa Barat",021-8754852,Karet Kompon
7271.,"H.UNDANG ZAKARIA,PT","Jl.sukamanah No315 Ds.sukamanah Tlp 950207, Bandung, Jawa Barat",,Kainsarung
7272.,"HABIB  LEATHER & CRAFT, PT","Jl. Imogiri Barat Km 6,7, Ngoto, Bantul, D.I. Yogyakarta",0274-445452,Tas Dari  Kulit
7273.,HABIBAH,"Jl. Wonorejo I/67 B, Surabaya, Jawa Timur",031 5477682,Pakaian Muslim
7274.,"HACE SUNRISE,PT","Jl Sukaresmi 15 Ds. Mekarwangi, Bandung Barat, Jawa Barat",2502868,Sandal
7275.,"HADARI, INDUSTRI KEPITING","Karang Mimba.dsn, Sumenep, Jawa Timur",511085,Daging Rajungan
7276.,"HADEKA FEEDMILL, PT","Betek Blok Krajan, Ds, Probolinggo, Jawa Timur",0335 611786,Makanan Ternak
7277.,"HADEKA FEEDMILL, PT","Raya Legok Gempol, Pasuruan, Jawa Timur",655586,Pakan Ternak
7278.,HADI,"Melati 30 Rt 3/iv Jl, Sidoarjo, Jawa Timur",,Krupuk
7279.,"HADI BARU, PT","Jl. Binjai Km. 16,8, Deli Serdang, Sumatera Utara","061-8821601,511711",Sir 20
7280.,HADI FURNITURE,", Jepara, Jawa Tengah",0291-755128,Mebel
7281.,"HADI FURNITURE, PT","Jl. Banyuputih, Jepara, Jawa Tengah",0291-755128,Furniture
7282.,HADI JAYA,"Grogol Rt 3/iii, Sidoarjo, Jawa Timur",8850260,Krupuk
7283.,"HADI JAYA,UD","Pesanggrahan, Dsraya Mojosari Pacet Km 4, Mojokerto, Jawa Timur",591349,Batu Pecah
7284.,"HADI KREASI MESINDO, PT","Jl. Raya Serang Km 12, Tangerang, Banten",021-5961292-94,Mesin Sepatu
7285.,HADI MULYONO TEMBAKAU,"Dk. Ketandan, Ds. Wonosari, Klaten, Jawa Tengah",,Tembakau Kering
7286.,HADI PUTRA GEMILANG/KRATON MAS,"Jl. Karet Pedurenan No 93, Jakarta Selatan, DKI Jakarta",021 5252885,Baju Daster
7287.,HADI SUKIRNO LEATHER WORK & HANDYCRAFT,"Jl.letjen.s Parman 25, Yogyakarta, D.I. Yogyakarta",0274-373242,Wayang
7288.,HADI SUMARTO PATI AREN,"Dk Bendo, Klaten, Jawa Tengah",,Pati Aren
7289.,HADI SUTRISNO TEMBAKAU,"Sumber Kulon, Klaten, Jawa Tengah",,Tembakau Kering
7290.,HADI SUYAMTO TEMBAKAU OPEN,"Dukuh Padangan, Klaten, Jawa Tengah",,Tembakau Asap Kering
7291.,HADI WALUYO TEMBAKAU,"Gedongan Kidul Wonosari, Klaten, Jawa Tengah",081225897388,Tembakau Kering
7292.,"HADINATA BROTHERS & CO, PT","Jl Tapos Km 1 Tlp.8752291-87522151 Kel Ciriung, Bogor, Jawa Barat",021-8752291,Sofa Almari
7293.,"HADISANTOSO MUKTI, PT","Jl. Tentara Pelajar No. 232, Kebumen, Jawa Tengah",0287-471342,Cat
7294.,"HAENG SUNG RAYA INDONESIA, PT","Jl.kawasan Industri Jababeka 2g Blok Cc No.22, Bekasi, Jawa Barat",0218935508,Kabel
7295.,"HAENGNAM SEJAHTERA, PT","Ds Cicadas Jl Mersedes, Bogor, Jawa Barat",8671739,Keramik
7296.,"HAERUDIN, PINPIN PD","Jl. Jend. Sudirman Rt. 05/14 Copong, Garut, Jawa Barat",,Jaket Dari Bahan Kain
7297.,HAERUMAN KONFEKSI,"Jl. Buncit Raya Rt 13/05 (kalibata Pulo, Jakarta Selatan, DKI Jakarta",,Pakaian/baju Anak
7298.,"HAFADAH, KRUPUK(BAROKAH, UD)","Johar, Jl; Krajan, Dusun; Kelir, Desa;, Banyuwangi, Jawa Timur",(0333)423308/0812348,Krupuk Dari Tepung Rasa Ikan
7299.,HAGAJAYA PRIMA GROUP JAYA,"Radio Dalam 4, Jakarta Selatan, DKI Jakarta",,Roti
7300.,"HAGIHARA WIHARTA INDONESIA,PT","Jl.maligi I Lot.b1 Kiic, Karawang, Jawa Barat",021-8901490,Aneka Tenun Plastik Dan Kemasa
7301.,"HAGUNA CIPTA METALINDO, PT","Jl. Kapuk Raya No. 14, Jakarta Barat, DKI Jakarta",021-6190450,Wiber
7302.,"HAHOLONGAN,PB. HULLER","Gg.mesjid Kopyah Ds Kopyah, Indramayu, Jawa Barat",,Beras
7303.,"HAI WEE RATTAN, PT","Jl. Tambak Langon Indahi/6, Surabaya, Jawa Timur",031-7495008,Rotan
7304.,HAIR STAR / PRIMA KARYA ABADI,"Sumatra 14, Jl, Pasuruan, Jawa Timur",0343 434051,Rambut Palsu/wig
7305.,"HAIR STAR IND, PT/HAN SHIN HI, PT","Ds Wedi Rt 4 Rw 1, Sidoarjo, Jawa Timur",8962108,Wig/hairpieces
7306.,HAITA IREN WORKS.CV,"May Jen Sungkono K/14, Gresik, Jawa Timur",,Jasa Mesin Swil
7307.,"HAKA ARTHA CIPTA UNGGUL, PT","Karimun Jawa No. 74, Jl, Banyuwangi, Jawa Timur",(0333)421464,Kapal Dr Fiberglass
7308.,"HAKAMATA UTAMA, PT","Nip Blok N - 1, Mojokerto, Jawa Timur",619218,Alat Pemotong
7309.,"HAKATEX JAYA, PT","Jl. Brigjen Slamet Riyadi 22, Batang, Jawa Tengah",0285-391546,Sarung Palekat
7310.,"HAKATEX, PT","Jl Moch Toha Km 5,6, Bandung, Jawa Barat",022-5203787,Kain Printing
7311.,HAKAYA INDOMAS,"Jl.tanjunsari 3a, Surabaya, Jawa Timur",333804,Perabot Rumah Tangga
7312.,HAKIKI ORGANIK FARM,"Jl. Batang Kuis Gg. Rotan, Deli Serdang, Sumatera Utara",091-7940861,Pupuk Organik
7313.,HAKIM GUNAWAN,"Kapuk Raya 14, Jakarta Barat, DKI Jakarta",021-6190450,Fiber
7314.,"HAKIWA MANDIRI PRIMA, PT.","Jl. Pelabuhan Pantoloan, Palu, Sulawesi Tengah",,Sortasi Coklat
7315.,HAL FRANS MULTINDO FOOD,"Br Tedal Kepuh, Tabanan, Bali",03613534785,Roti
7316.,"HALDIN FACIFIC SEMESTA,PT","Kawasan Jababeka Iv Blok C 3, Bekasi, Jawa Barat",8934452,Saripati Aroma
7317.,HALIM INJECTION,"Jembatan Gambang Ii /1ae, Jakarta Utara, DKI Jakarta",021-6615769,Gelas Plastik
7318.,HALIM JAYA SAKTI LIANA.PT,"Kejapanan, Pasuruan, Jawa Timur",,Sepatu/sandal
7319.,HALIM KAYAN PUTRA,"Madasetro, Sidoarjo, Jawa Timur",8951385,Sol Sepatu
7320.,HALIM PLASTIK.CV,"Bambe Km.19.4, Gresik, Jawa Timur",7507059,Timba Plastik
7321.,"HALIM SAMUDERA INTERUTAMA, PT","Jl Industri Raya Iv Blok Ae/10, Tangerang, Banten",021-5903992,Plastik Compund
7322.,"HALIM WONOWIDJOJO, PT","Tunggul Wulung, Jl, Kediri, Jawa Timur",0354682091-682097,Rokok Putih
7323.,HALIMAH,"Ds. Kalirejo, Gresik, Jawa Timur",,Kerudung
7324.,"HALMAHERA GROUP,CV/SAMUDI","Dsn.bendoagung Rt. 14/4, Trenggalek, Jawa Timur",631075,Kayu Olahan Sengon
7325.,"HALMAHERA, PT","Jl. Kamp Baru Kuala Sei Sakat, Labuhan Batu, Sumatera Utara",,Ubur-ubur Laut
7326.,"HALONI JANE, PT","Kawasan Industri Tristate Jl.raya Serang Km.13,b, Tangerang, Banten",021 5962436,Sarung Tangan Karet
7327.,"HALUAN CIPTA MAJU, PT","Jl Industri Selatan I Tob Blok 00 No 2c Jababeka, Bekasi, Jawa Barat",021-8937051,Generator
7328.,"HALUAN UTAMA MAJU ,PT","Jl,jababeka Blok K 86, Bekasi, Jawa Barat",021-8934382,Perakitan Elektro
7329.,HAMA MAKMUR,"Jl. Ngampelsari, Sidoarjo, Jawa Timur",8958317,Rokok
7330.,"HAMASA STEEL,PT","Jl.tlajung Udik, Bogor, Jawa Barat",8672922,Plat Besi
7331.,"HAMASA UTAMA,PT","Biie Blok C7 No.1-15, Bekasi, Jawa Barat",,Konstruksi Baja
7332.,"HAMATETSU INDONESIA, PT","Jl Permata Raya Lot B-6a Kiic, Karawang, Jawa Barat",021-8901765,Spare Part Motor
7333.,HAMDAN,"Dusun Lede Ds Surabaya, Lombok Timur, Nusa Tenggara Barat",,Oven Tembakau Kering Virginia
7334.,"HAME PERDANA, PT","Jl Berbek Industri I/16       Telp 831080,836718,836719, Sidoarjo, Jawa Timur",,Kembang Gula
7335.,HAMID EFENDI,"Gudang 11 Kapuk Muara No.38, Jakarta Utara, DKI Jakarta",021-5881911,Bakso Ikan Dan Otak-otak
7336.,"HAMIM, MEBEL","Benting Baru Dsn, Sumenep, Jawa Timur",,Kursi
7337.,"HAMINDYO SAPUTRO, CV (HMD)","Jl. Bremoro No. 10-17, Surakarta, Jawa Tengah",0271-458887,Mebel
7338.,"HAMPARAN RIZKI, CV","Kp. Babakan, Bogor, Jawa Barat",0219198413,Konveksi Pakaian
7339.,"HAMSA, PT","Jababeka Xii Blok J7f, Bekasi, Jawa Barat",8936637,Meubel
7340.,"HAMZAH, TALI IRAT/WRAKAS )","Sidorejo, Dsn Ds.gamba, Banyuwangi, Jawa Timur",-,Kerajinan Tali(irad) Asesoris
7341.,"HAMZAH, UD","Jl. Poros Palopo, Wajo, Sulawesi Selatan",,Beras
7342.,"HAN YOUNG INDONESIA, PT","Jl Bumimas Raya No 17 Cikupa Mas, Tangerang, Banten",021 59403044,Lem
7343.,HAN'S PERUSAHAAN ROTI,"Jl Ks Tubun Ii/25 Slipi       No. Kel.slipi, Jakarta Barat, DKI Jakarta",021-5306786,Roti Manis
7344.,"HANA ENGGINERING, PT","Kp Ciapus Rt 18/8, Tangerang, Banten",021-5996328,Mesin Sepatu
7345.,"HANA MASTER JAYA,PT","Jl.cibingbin No.99, Bandung Barat, Jawa Barat",022-6865432,Perakitan Electronik
7346.,"HANAQUA INDUSTRIAL, PT","Jl Raya Cukanggalih, Tangerang, Banten",021-5984108,Bingkai Kayu
7347.,HANBAT MULTIWAY APPAREL,"Kp Bentang Rt 04/04 Kutajaya, Sukabumi, Jawa Barat",0266-736441,Pakaian Jadi
7348.,"HANCO DEWATARA, PT","Jl. Siliwangi No. 178, Tangerang, Banten",021-5903521,Konstruksi Baja
7349.,"HANCOOK CERAMIK, PT","Jl Raya Cikupa -  Pasar Kemis, Tangerang, Banten",021 5900401,Keramik Alat-alat Rumah Tangga
7350.,HAND SUM TEX,"Kbn Jl.sumbawa Raya Blok E No.02, Jakarta Utara, DKI Jakarta",021-4404333,Pakaian Jadi
7351.,"HAND SUNTEK, PT","Jl Mauk Km 3, Tangerang, Banten",,Garmen
7352.,"HANDARBENI,  CV","Terboyo Ind Barat Dlm Ii Blok Iv 13c, Semarang, Jawa Tengah",024-6593766,Mebel
7353.,HANDAYANI BAKERY,"Tenggilis Kauman Ii A/8-10.jl, Surabaya, Jawa Timur",8493609,Roti
7354.,"HANDI ART, PT","Ngabul, Jepara, Jawa Tengah",0291 596456,Inddor
7355.,"HANDI PERKASA,PT","Agung Perkasa 8 Blok Ki/29, Jakarta Utara, DKI Jakarta",021-6507754;021-6510,Bubut
7356.,"HANDOK ELEVATOR INDONESIA, PT","Kol Sugiono No. 2, Jakarta Timur, DKI Jakarta",021-8650631,Alat Pengangkat Lift
7357.,"HANDSOME ,PT/HB GARMENT, PT","Jl Raya Kalijati Purwadadi, Subang, Jawa Barat",0260-460690,Pakaian Jadi
7358.,HANDUK GUNA MEKAR,"Jl Raya Rancaekek, Bandung, Jawa Barat",,Kain Handuk
7359.,HANDUK GUNUNG GEDE,"Gang Binong Utara, Bandung, Jawa Barat",022-7312286,Handuk Mandi
7360.,HANDY GOZAL PAKAIAN/BATIK MOLLEH,"Anggrek Iv No.46 Rt12/07, Jakarta Selatan, DKI Jakarta",021-5253435,Baju Batik Molleh
7361.,HANDYCRAF FURNITURE,"Rt 03 Rw 02 Dk Candi, Jepara, Jawa Tengah",0291-771717,Mebel Kayu Mahoni
7362.,"HANEKA PUTRA PERDANA, PT","Jl. Cendrawasih V No. 9, Jakarta Barat, DKI Jakarta",021-5453189,Kemeja
7363.,"HANGANG, PT","Dusun Tluko Rt 15 Rw 09, Semarang, Jawa Tengah",0298-610239,Bordir
